split,budget,comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.1,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_particle_friction_belief,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,coverage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
low_signal_high_risk_shift,0.15,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_particle_friction_belief,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.0,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_conformal_precontact_risk,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_particle_friction_belief,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_particle_friction_belief,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_mpc_grip_stabilizer,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_utility,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_recovery_aware_grasp_mpc,accepted_ap,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,coverage,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_success,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_gross_slip,0.000000,0.000000,0.000000,0.000000,0,10
combined_hard_shift,0.05,calibrated_precontact_microslip_v5_minus_ensemble_uncertainty_guard,accepted_damage,0.000000,0.000000,0.000000,0.000000,0,10
